Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
,,,,,,,
Open Ended Schemes ( Equity Scheme - Multi Cap Fund ),,,,,,,
,,,,,,,
,,,,,,,
Motilal Oswal Mutual Fund,,,,,,,
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.7843,,,1-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6096,,,3-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.432,,,4-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.223,,,7-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.5277,,,8-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6277,,,9-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.5689,,,10-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6123,,,11-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6837,,,14-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.7225,,,15-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.6013,,,16-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.4069,,,17-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.4015,,,18-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.1983,,,21-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,11.9305,,,22-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.2658,,,23-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.1903,,,24-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.0474,,,25-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.0532,,,28-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.1472,,,29-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.1315,,,30-Oct-24
152650,Motilal Oswal Multi Cap Fund Regular Plan Growth,INF247L01CO2,,12.1008,,,31-Oct-24
