Scheme Code,Scheme_Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,NAV,Repurchase Price,Sale Price,Date,Rolling_Volatility
,BANDHAN LIQUID FUND - Inst Plan B - Periodic Div,,,0.0,,,2008-10-02,
,ICICI Prudential Medium Term Bond Fund Plan A - Weekly Dividend,,,10.0458,,,2012-02-17,
,HDFC Liquid Fund-Premium Plus Plan - Dividend-Weekly,,,10.0,,,2012-05-14,
,SBI ONE INDIA FUND - DIVIDEND (PREVIOUSLY CLOSE ENDED UPTO 14/01/2010),,,10.43,,,2012-08-10,
,SBI ONE INDIA FUND - GROWTH (PREVIOUSLY CLOSE ENDED UPTO 14/01/2010),,,10.43,,,2012-08-10,
,ICICI Prudential Interval Fund II Quarterly Interval Plan D - Quarterly Dividend Payout,,,10.2309,,,2012-09-11,
,ICICI Prudential Interval Fund Quarterly Interval Plan - II Retail Quarterly Dividend Payout,,,10.234,,,2012-09-20,
,SBI Magnum Income Plus Fund - Savings Plan (D),,,11.1062,,,2012-10-05,
,SBI MAGNUM NRI FLEXIASSET PLAN-GROWTH,,,30.1918,,,2012-10-05,
,SBI MAGNUM NRI FLEXIASSET PLAN-DIVIDEND,,,30.3025,,,2012-10-05,
,SBI Magnum Income Plus Fund - Savings Plan (G),,,12.5326,,,2012-10-05,
,HDFC Liquid Fund-PREMIUM PLUS- Growth,,,10.0,,,2012-12-17,
,ICICI Prudential Interval Fund II Quarterly Interval Plan C- Institutional Quarterly Dividend Payout,,,10.2061,,,2013-03-04,
,Baroda BNP Paribas Liquid Fund - Regular - Weekly IDCW Option,,,0.0,,,2013-05-03,
,ICICI Prudential All Seasons Bond Fund Retail - Annual Dividend,,,10.8538,,,2013-08-21,
,Kotak Liquid-Institutional Plan (Weekly Dividend),,,1011.079,,,2013-09-23,
,ICICI Prudential Interval Fund Annual Interval Plan II - Dividend,,,11.8549,,,2013-10-21,
,ICICI Prudential Interval Fund Annual Interval Plan III - Dividend,,,10.8352,,,2013-10-29,
,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Quarterly Dividend Payout,,,10.0095,,,2014-01-20,
,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - A - Direct Plan - Dividend,,,10.9291,,,2014-02-25,
,ICICI Prudential Interval Fund II - Quarterly Interval Plan A - Direct Plan - Quarterly Dividend Payout,,,10.2479,,,2014-05-15,
,ICICI Prudential Interval Fund Quarterly Interval Plan 1 Plan - Direct Plan - Quarterly Dividend Payout,,,10.0023,,,2014-06-04,
,Reliance Yearly Interval Fund - Series 8 - Direct Plan - Dividend Plan - Dividend Option,,,10.0,,,2014-06-17,
,ICICI Prudential Interval Fund Monthly Interval Plan I - Direct Plan -  Dividend,,,10.0692,,,2014-06-30,
,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Direct Plan -  Dividend,,,10.0168,,,2014-07-31,
,Kotak FMP Series 105 Dividend,,,10.00005272,,,2014-08-04,
,Kotak FMP Series 106 Direct Dividend,,,10.00000021,,,2014-08-05,
,Kotak FMP Series 106 Dividend,,,10.0000024,,,2014-08-05,
,ICICI Prudential Interval Fund II Quarterly Interval Plan A - Retail Quarterly Dividend Payout,,,10.224,,,2014-08-19,
,ICICI Prudential Interval Fund Quarterly Interval Plan - 1 Retail Quarterly Dividend Payout,,,10.0022,,,2014-09-04,
,Kotak FMP Series 115 (370 Days) - Dividend,,,11.05176745,,,2014-09-08,
,Kotak FMP Series 116 (370 Days) - Direct Dividend,,,11.0919,,,2014-09-09,
,Kotak FMP Series 116 (370 Days)- Dividend,,,11.08650939,,,2014-09-09,
,ICICI Prudential Blended Plan B - Direct Plan - Half Yearly Dividend Option - I,,,10.0227,,,2014-09-26,
,ICICI Prudential Interval Fund Annual Interval Plan IV -  Dividend,,,11.7708,,,2014-11-17,
,ICICI Prudential Interval Fund II Quarterly Interval Plan C - Direct Plan -  Quarterly Dividend Payout,,,10.2204,,,2014-12-11,
,BANDHAN Equity Savings Fund -B-GROWTH,,,16.0114,,,2015-01-08,
,Axis Strategic Bond Fund - Regular Plan - Bonus Option,,,13.256,,,2015-01-30,
,Kotak FMP Series 137 (371 Days) - Direct Dividend,,,11.00823,,,2015-02-23,
,Kotak FMP Series 136 (376 Days) - Dividend,,,10.98559022,,,2015-02-23,
,Kotak FMP Series 137 (371 Days) -  Dividend,,,10.9876902,,,2015-02-23,
,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Direct Plan - Dividend,,,10.441,,,2015-03-23,
