pr_auc,roc_auc,model,resampler,dataset
0.6837914146750602,0.9306041306188565,Elastic_L30_C1,Manual Upsampling,baseline_easy_w5_n5_d0.csv
0.6704528189071681,0.9284566015044974,Elastic_L30_C1,SMOTE,baseline_easy_w5_n5_d0.csv
0.5416908544634359,0.9059750395758938,Elastic_L30_C1,ADASYN,baseline_easy_w5_n5_d0.csv
0.5301820460630724,0.9162463645399993,Elastic_L30_C1,Borderline SMOTE,baseline_easy_w5_n5_d0.csv
0.6707971187686876,0.9284688730994367,Elastic_L30_C1,SMOTETomek,baseline_easy_w5_n5_d0.csv
0.667319238348368,0.9289106505172477,Elastic_L30_C1,SMOTEENN,baseline_easy_w5_n5_d0.csv
0.7210679962630321,0.9321012652014383,Elastic_L30_C1,Random Undersample,baseline_easy_w5_n5_d0.csv
0.6772173396291467,0.9285793174538896,Elastic_L30_C1,Cluster Centroids,baseline_easy_w5_n5_d0.csv
0.6896321125781602,0.9314263274797826,Elastic_L30_C1,No Resampling,baseline_easy_w5_n5_d0.csv
0.1524208264710182,0.79777250113071,Elastic_L30_C1,Manual Upsampling,high_drift_w3_n10_d60.csv
0.14737752998194106,0.80548017488316,Elastic_L30_C1,SMOTE,high_drift_w3_n10_d60.csv
0.14228488264999237,0.799864314789688,Elastic_L30_C1,ADASYN,high_drift_w3_n10_d60.csv
0.1745131203131903,0.8032375998793909,Elastic_L30_C1,Borderline SMOTE,high_drift_w3_n10_d60.csv
0.14737752998194106,0.80548017488316,Elastic_L30_C1,SMOTETomek,high_drift_w3_n10_d60.csv
0.13860205447667798,0.803991406603347,Elastic_L30_C1,SMOTEENN,high_drift_w3_n10_d60.csv
0.18973334783978402,0.8028606965174129,Elastic_L30_C1,Random Undersample,high_drift_w3_n10_d60.csv
0.1761766880754689,0.7996947082767978,Elastic_L30_C1,Cluster Centroids,high_drift_w3_n10_d60.csv
0.1538668080970197,0.7950964872606664,Elastic_L30_C1,No Resampling,high_drift_w3_n10_d60.csv
0.03929224433905126,0.6161308376344755,Elastic_L30_C1,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv
0.03840605276354341,0.626640134320005,Elastic_L30_C1,SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03785659301943486,0.6235930601330764,Elastic_L30_C1,ADASYN,imbalanced_sparse_w0_n10_d10.csv
0.022417458280287024,0.6434301349418569,Elastic_L30_C1,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03840605276354341,0.626640134320005,Elastic_L30_C1,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv
0.036952167821305566,0.6280082084447485,Elastic_L30_C1,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv
0.033431191675662005,0.6217896896959144,Elastic_L30_C1,Random Undersample,imbalanced_sparse_w0_n10_d10.csv
0.09372339753663769,0.5948635035134631,Elastic_L30_C1,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv
