Dataset,Model,PR AUC,Baseline,Lift,Liftoff
market_shock_sim,XGBoost Stacker,0.181,0.165,0.016,⛔
marketshock_easy_s1,XGBoost Stacker,0.581,0.141,0.44,⛔
marketshock_easy_s2,XGBoost Stacker,0.659,0.136,0.524,🚀
marketshock_easy_s3,XGBoost Stacker,0.695,0.133,0.562,🚀
marketshock_extreme_s1,XGBoost Stacker,0.258,0.261,-0.003,⛔
marketshock_extreme_s2,XGBoost Stacker,0.268,0.255,0.013,⛔
marketshock_extreme_s3,XGBoost Stacker,0.281,0.264,0.018,⛔
marketshock_hard_s1,XGBoost Stacker,0.185,0.177,0.008,⛔
marketshock_hard_s2,XGBoost Stacker,0.156,0.164,-0.007,⛔
marketshock_hard_s3,XGBoost Stacker,0.144,0.155,-0.011,⛔
marketshock_medium_s1,XGBoost Stacker,0.277,0.141,0.136,⛔
marketshock_medium_s2,XGBoost Stacker,0.256,0.144,0.112,⛔
marketshock_medium_s3,XGBoost Stacker,0.21,0.14,0.07,⛔
stock_prediction_clean,XGBoost Stacker,0.921,0.502,0.418,🚀
