raw_feature_id,economic_label
feature_0,minimum_wage_trend_43
feature_1,neutral_interest_rate_153
feature_2,market_liquidity
feature_3,initial_jobless_claims_11
feature_4,corporate_earnings_forecast_71
feature_5,foreign_exchange_rate_187
feature_6,federal_funds_rate_53
feature_7,real_potential_GDP_157
feature_8,retail_sales
feature_9,PMI_manufacturing_56
feature_10,regime_switch_probability_147
feature_11,federal_funds_rate_51
feature_12,yield_curve_slope_114
feature_13,foreign_exchange_rate_167
feature_14,used_car_prices
feature_15,housing_prices_127
feature_16,margin_debt_growth_191
feature_17,job_postings_online_41
feature_18,fisher_effect_offset_88
feature_19,electricity_cost_index
feature_20,10y_treasury_yield_176
feature_21,10y_treasury_yield_78
feature_22,minimum_wage_trend_116
feature_23,unemployment_rate
feature_24,housing_prices_26
feature_25,machine_sentiment_factor_181
feature_26,real_potential_GDP_96
feature_27,VIX_index_108
feature_28,libor_ois_spread_107
feature_29,term_premium_139
feature_30,grocery_index_156
feature_31,housing_prices_17
feature_32,neutral_interest_rate
feature_33,real_potential_GDP_36
feature_34,initial_jobless_claims_94
feature_35,corporate_earnings_forecast_28
feature_36,high_yield_spread_67
feature_37,macro_risk_factor_1_60
feature_38,machine_sentiment_factor
feature_39,CPI_inflation
feature_40,regime_switch_probability_44
feature_41,economic_surprise_index_186
feature_42,fwd_earnings_surprise_80
feature_43,macro_risk_factor_1_155
feature_44,housing_starts_83
feature_45,libor_ois_spread_72
feature_46,yield_curve_slope_9
feature_47,gas_price_132
feature_48,economic_surprise_index_66
feature_49,nowcast_gdp_188
feature_50,nowcast_gdp_145
feature_51,output_gap_90
feature_52,credit_spread
feature_53,regime_switch_probability_136
feature_54,unemployment_rate_146
feature_55,real_interest_rate_gap_103
feature_56,bank_lending_survey
feature_57,term_premium_20
feature_58,tail_risk_score_195
feature_59,VIX_index_168
feature_60,output_gap_35
feature_61,machine_sentiment_factor_13
feature_62,PMI_manufacturing_14
feature_63,macro_risk_factor_1_16
feature_64,used_car_prices_189
feature_65,tail_risk_score
feature_66,economic_surprise_index_172
feature_67,neutral_interest_rate_38
feature_68,grocery_index
feature_69,recession_model_score_45
feature_70,real_potential_GDP_183
feature_71,oil_price
feature_72,GDP_growth_21
feature_73,gas_price_23
feature_74,ISM_nonmanufacturing_index_154
feature_75,regime_switch_probability_166
feature_76,recession_model_score_193
feature_77,minimum_wage_trend_34
feature_78,natural_rate_of_unemployment_84
feature_79,consumer_sentiment_index_48
feature_80,S&P500_returns_77
feature_81,ISM_nonmanufacturing_index
feature_82,neutral_interest_rate_91
feature_83,grocery_index_165
feature_84,fwd_earnings_surprise_141
feature_85,real_potential_GDP
feature_86,job_postings_online
feature_87,retail_sales_104
feature_88,S&P500_returns_137
feature_89,used_car_prices_68
feature_90,PMI_manufacturing_143
feature_91,macro_risk_factor_1
feature_92,electricity_cost_index_58
feature_93,job_postings_online_130
