column_name,concept_pool,source,expected_frequency,difficulty_level
linchpin__gdp_growth,linchpin,FRED or Estimated,Monthly,Easy
linchpin__cpi_inflation,linchpin,FRED or Estimated,Monthly,Easy
linchpin__unemployment_rate,linchpin,FRED or Estimated,Monthly,Easy
linchpin__vix_index,linchpin,FRED or Estimated,Monthly,Easy
linchpin__10y_treasury_yield,linchpin,FRED or Estimated,Monthly,Easy
linchpin__federal_funds_rate,linchpin,FRED or Estimated,Monthly,Easy
linchpin__consumer_sentiment_index,linchpin,FRED or Estimated,Monthly,Easy
linchpin__pmi_manufacturing,linchpin,FRED or Estimated,Monthly,Easy
linchpin__housing_starts,linchpin,FRED or Estimated,Monthly,Easy
linchpin__initial_jobless_claims,linchpin,FRED or Estimated,Monthly,Easy
linchpin__ism_nonmanufacturing_index,linchpin,FRED or Estimated,Monthly,Easy
linchpin__s&p500_returns,linchpin,FRED or Estimated,Monthly,Easy
linchpin__mortgage_rate,linchpin,FRED or Estimated,Monthly,Easy
linchpin__core_cpi,linchpin,FRED or Estimated,Monthly,Easy
linchpin__import_prices,linchpin,FRED or Estimated,Monthly,Easy
linchpin__export_prices,linchpin,FRED or Estimated,Monthly,Easy
linchpin__retail_sales,linchpin,FRED or Estimated,Monthly,Easy
linchpin__industrial_production,linchpin,FRED or Estimated,Monthly,Easy
linchpin__nonfarm_payrolls,linchpin,FRED or Estimated,Monthly,Easy
linchpin__real_gdp_growth,linchpin,FRED or Estimated,Monthly,Easy
layman__oil_price,layman,FRED or Estimated,Monthly,Easy
layman__gas_price,layman,FRED or Estimated,Monthly,Easy
layman__housing_prices,layman,FRED or Estimated,Monthly,Easy
layman__grocery_index,layman,FRED or Estimated,Monthly,Easy
layman__retail_sales,layman,FRED or Estimated,Monthly,Easy
layman__job_postings_online,layman,FRED or Estimated,Monthly,Easy
layman__mortgage_rate,layman,FRED or Estimated,Monthly,Easy
layman__used_car_prices,layman,FRED or Estimated,Monthly,Easy
layman__electricity_cost_index,layman,FRED or Estimated,Monthly,Easy
layman__minimum_wage_trend,layman,FRED or Estimated,Monthly,Easy
layman__consumer_credit,layman,FRED or Estimated,Monthly,Easy
layman__auto_loan_rate,layman,FRED or Estimated,Monthly,Easy
layman__student_debt_level,layman,FRED or Estimated,Monthly,Easy
layman__rental_vacancy_rate,layman,FRED or Estimated,Monthly,Easy
layman__netflix_subs_index,layman,FRED or Estimated,Monthly,Easy
