date,gdp_growth,unemployment_rate,cpi_inflation,consumer_sentiment_index,federal_funds_rate,vix_index,10y_treasury_yield
2000-01-31,10002.179,4.0,169.3,112.0,5.45,,97.8
2000-04-30,10247.72,3.8,170.9,109.2,6.02,,98.5
2000-07-31,10318.165,4.0,172.7,108.3,6.54,,100.2
2000-10-31,10435.744,3.9,173.9,105.8,6.51,,101.2
2001-01-31,10470.231,4.2,175.6,94.7,5.98,,100.5
2001-04-30,10599.0,4.4,176.4,88.4,4.8,,97.8
2001-07-31,10598.02,4.6,177.4,92.4,3.77,,96.1
2001-10-31,10660.465,5.3,177.6,82.7,2.49,32.32,93.7
2002-01-31,10783.5,5.7,177.7,93.0,1.73,,91.6
2002-04-30,10887.46,5.9,179.3,93.0,1.75,18.73,94.3
2002-07-31,10984.04,5.8,180.0,88.1,1.73,27.11,94.5
2002-10-31,11061.433,5.7,181.2,80.6,1.75,34.12,95.5
2003-01-31,11174.129,5.8,182.6,82.4,1.24,,96.9
2003-04-30,11312.766,6.0,183.2,86.0,1.26,28.36,96.0
2003-07-31,11566.669,6.2,183.7,90.9,1.01,19.46,96.7
2003-10-31,11772.234,6.0,184.9,89.6,1.01,21.07,96.3
2004-01-31,11923.447,5.7,186.3,103.8,1.0,,99.0
2004-04-30,12112.815,5.6,187.4,94.2,1.0,16.65,100.4
2004-07-31,12305.307,5.5,189.1,96.7,1.26,15.2,102.1
2004-10-31,12527.214,5.5,190.8,91.7,1.76,12.75,105.8
2005-01-31,12767.286,5.3,191.6,95.5,2.28,,104.6
2005-04-30,12922.656,5.2,193.7,87.7,2.79,14.09,108.8
2005-07-31,13142.642,5.0,194.9,96.5,3.26,11.4,110.5
2005-10-31,13324.204,5.0,199.1,74.2,3.78,,114.5
2006-01-31,13599.16,4.7,199.3,91.2,4.29,,113.7
2006-04-30,13753.424,4.7,200.7,87.4,4.79,,115.1
2006-07-31,13870.188,4.7,202.9,84.7,5.24,,118.2
2006-10-31,14039.56,4.4,201.9,93.6,5.25,,113.3
2007-01-31,14215.651,4.6,203.437,96.9,5.25,,113.7
2007-04-30,14402.082,4.5,205.904,87.1,5.25,,117.5
2007-07-31,14564.117,4.7,207.603,90.4,5.26,,121.5
2007-10-31,14715.058,4.7,209.19,80.9,4.76,17.84,123.6
2008-01-31,14706.538,5.0,212.174,78.4,3.94,,129.2
2008-04-30,14865.701,5.0,213.942,62.6,2.28,22.68,137.3
2008-07-31,14898.999,5.8,219.016,61.2,2.01,23.65,147.5
2008-10-31,14608.209,6.5,216.995,57.6,0.97,39.81,129.6
2009-01-31,14430.902,7.8,211.933,61.2,0.15,,113.0
2009-04-30,14381.236,9.0,212.709,65.1,0.15,42.28,114.8
2009-07-31,14448.882,9.5,214.726,66.0,0.16,26.22,119.3
2009-10-31,14651.249,10.0,216.509,70.6,0.12,28.27,122.3
2010-01-31,14764.61,9.8,217.488,74.4,0.11,,125.9
2010-04-30,14980.193,9.9,217.403,72.2,0.2,17.47,127.7
2010-07-31,15141.607,9.4,217.605,67.8,0.18,32.86,125.2
2010-10-31,15309.474,9.4,219.035,67.7,0.19,22.5,127.1
2011-01-31,15351.448,9.1,221.187,74.2,0.17,,133.0
2011-04-30,15557.539,9.1,224.093,69.8,0.1,17.4,142.9
2011-07-31,15647.68,9.0,225.395,63.7,0.07,15.87,142.4
2011-10-31,15842.259,8.8,226.75,60.8,0.07,,141.2
2012-01-31,16068.805,8.3,227.842,75.0,0.08,,142.2
2012-04-30,16207.115,8.2,229.187,76.4,0.14,,144.1
2012-07-31,16319.541,8.2,228.59,72.3,0.16,,137.7
2012-10-31,16420.419,7.8,231.638,82.6,0.16,16.32,141.2
2013-01-31,16648.189,8.0,231.679,73.8,0.14,,140.1
2013-04-30,16728.687,7.6,231.797,76.4,0.15,13.58,140.2
2013-07-31,16953.838,7.3,232.9,85.1,0.09,16.37,138.9
2013-10-31,17192.019,7.2,233.669,73.2,0.09,15.54,138.9
2014-01-31,17197.738,6.6,235.288,81.2,0.07,,138.3
2014-04-30,17518.508,6.2,236.468,84.1,0.09,13.1,139.7
2014-07-31,17804.228,6.2,237.498,81.8,0.09,11.15,140.1
2014-10-31,17912.079,5.7,237.43,86.9,0.09,16.71,136.0
2015-01-31,18063.529,5.7,234.747,98.1,0.11,,126.0
2015-04-30,18279.784,5.4,236.222,95.9,0.12,15.11,125.1
2015-07-31,18401.626,5.2,238.034,93.1,0.13,16.09,125.4
2015-10-31,18435.137,5.0,237.733,90.0,0.12,22.55,121.5
2016-01-31,18525.933,4.8,237.652,92.0,0.34,,117.8
2016-04-30,18711.702,5.1,238.992,89.0,0.37,13.1,118.5
2016-07-31,18892.639,4.8,240.101,90.0,0.39,14.77,120.8
2016-10-31,19089.379,4.9,241.741,87.2,0.4,,121.2
2017-01-31,19280.084,4.7,243.618,98.5,0.65,,122.3
2017-04-30,19438.643,4.4,244.193,97.0,0.9,,122.8
2017-07-31,19692.595,4.3,244.243,93.4,1.15,,122.2
2017-10-31,20037.088,4.2,246.626,100.7,1.15,,124.1
2018-01-31,20328.553,4.0,248.859,95.7,1.41,,126.5
2018-04-30,20580.912,4.0,250.227,98.8,1.69,,127.1
2018-07-31,20798.73,3.8,251.214,97.9,1.91,,128.1
2018-10-31,20917.867,3.8,252.772,98.6,2.19,12.0,128.3
2019-01-31,21111.6,4.0,252.561,91.2,2.4,,124.6
2019-04-30,21397.938,3.7,255.233,97.2,2.42,13.4,126.8
2019-07-31,21717.171,3.7,255.802,98.4,2.4,14.06,125.6
2019-10-31,21933.217,3.6,257.155,95.5,1.83,18.56,124.5
2020-01-31,21727.657,3.6,259.127,99.8,1.55,,125.2
2020-04-30,19935.444,14.8,256.032,71.8,0.05,57.06,118.2
2020-07-31,21684.551,10.2,258.352,72.5,0.09,28.62,122.1
2020-10-31,22068.767,6.9,260.319,81.8,0.09,26.7,123.3
2021-01-31,22656.793,6.4,262.639,79.0,0.09,,126.5
2021-04-30,23368.861,6.1,266.625,88.3,0.07,17.33,131.1
2021-07-31,23921.991,5.4,271.965,81.2,0.1,15.48,134.6
2021-10-31,24777.038,4.5,276.528,71.7,0.08,21.15,136.9
2022-01-31,25215.491,4.0,282.542,67.2,0.08,,140.1
2022-04-30,25805.791,3.7,288.582,65.2,0.33,19.63,147.5
2022-07-31,26272.011,3.5,294.94,51.5,1.68,26.7,146.4
2022-10-31,26734.277,3.6,297.979,59.9,3.08,,142.7
2023-01-31,27164.359,3.5,300.456,64.9,4.33,,141.3
2023-04-30,27453.815,3.4,302.858,63.7,4.83,,140.3
2023-07-31,27967.697,3.5,304.615,71.5,5.12,,139.4
2023-10-31,28296.967,3.9,307.653,63.8,5.33,,140.1
2024-01-31,28624.069,3.7,309.794,79.0,5.33,,139.4
