date,linchpin__gdp_growth,linchpin__cpi_inflation,linchpin__unemployment_rate,linchpin__vix_index,linchpin__10y_treasury_yield,linchpin__federal_funds_rate,linchpin__consumer_sentiment_index,linchpin__housing_starts,linchpin__initial_jobless_claims,linchpin__industrial_production,linchpin__manufacturing_hours,linchpin__durable_goods_orders,linchpin__pmi_manufacturing
2000-01-31,10002.179,169.3,4.0,24.95,6.66,5.45,112.0,1636.0,285000.0,91.4092,41.5,201360.0,0.013581570930604499
2000-02-29,10002.179,170.0,4.1,23.37,6.52,5.73,111.3,1737.0,280000.0,91.7245,41.5,183911.0,-0.024616992458180786
2000-03-31,10002.179,171.0,4.0,24.11,6.26,5.85,107.1,1604.0,272000.0,92.083,41.4,192130.0,0.014247514120761707
2000-04-30,10247.72,170.9,3.8,26.2,5.99,6.02,109.2,1626.0,291000.0,92.6659,41.6,195044.0,0.008531383067680509
2000-05-31,10247.72,171.2,4.0,23.65,6.44,6.27,110.7,1575.0,280000.0,92.9347,41.2,188606.0,-0.011626699016458563
2000-06-30,10247.72,172.2,4.0,19.54,6.1,6.53,106.4,1559.0,296000.0,93.0018,41.3,219745.0,0.05054719791313502
2000-07-31,10318.165,172.7,4.0,20.74,6.05,6.54,108.3,1463.0,298000.0,92.8373,41.5,189265.0,-0.04086659698618019
2000-08-31,10318.165,172.7,4.1,16.84,5.83,6.5,107.3,1541.0,312000.0,92.591,41.1,188730.0,-0.004800794983353729
2000-09-30,10318.165,173.6,3.9,20.57,5.8,6.52,106.8,1507.0,292000.0,92.9827,41.1,199947.0,0.019522406772520928
2000-10-31,10435.744,173.9,3.9,23.63,5.74,6.51,105.8,1549.0,301000.0,92.64,41.1,186158.0,-0.02216323531772092
2000-11-30,10435.744,174.2,3.9,29.65,5.72,6.51,107.6,1551.0,356000.0,92.6604,41.1,189392.0,0.005299784789198214
2000-12-31,10435.744,174.6,3.9,26.85,5.24,6.4,98.4,1532.0,353000.0,92.3457,40.3,188659.0,-0.008359009084482293
2001-01-31,10470.231,175.6,4.2,22.02,5.16,5.98,94.7,1600.0,362000.0,91.8908,40.7,177056.0,-0.01744350428372312
2001-02-28,10470.231,176.0,4.2,28.35,5.1,5.49,90.6,1625.0,386000.0,91.2851,40.5,180276.0,0.0013450916839949142
2001-03-31,10470.231,176.1,4.3,28.64,4.89,5.31,91.5,1590.0,388000.0,91.0585,40.5,182209.0,0.0022238012113936275
2001-04-30,10599.0,176.4,4.4,25.48,5.14,4.8,88.4,1649.0,406000.0,90.7384,40.4,171850.0,-0.019202558564615987
2001-05-31,10599.0,177.3,4.3,22.64,5.39,4.21,92.0,1605.0,405000.0,90.2607,40.4,177749.0,0.008192100331224614
2001-06-30,10599.0,177.7,4.5,19.06,5.28,3.97,92.6,1636.0,394000.0,89.7811,40.3,176350.0,-0.005229167958988479
2001-07-31,10598.02,177.4,4.6,21.62,5.24,3.77,92.4,1670.0,388000.0,89.2352,40.6,170129.0,-0.010781818771263297
2001-08-31,10598.02,177.4,4.9,24.92,4.97,3.65,91.5,1567.0,395000.0,89.157,40.3,170484.0,-0.0019412875186999522
2001-09-30,10598.02,178.1,5.0,31.93,4.73,3.07,81.8,1562.0,517000.0,88.6749,40.2,164123.0,-0.014100768723703628
2001-10-31,10660.465,177.6,5.3,33.56,4.57,2.49,82.7,1540.0,483000.0,88.4051,40.1,171530.0,0.011575937313094786
2001-11-30,10660.465,177.5,5.5,23.84,4.65,2.09,83.9,1602.0,491000.0,87.886,40.0,163811.0,-0.016597125295027645
2001-12-31,10660.465,177.4,5.7,23.8,5.09,1.82,88.8,1568.0,421000.0,87.8518,40.2,165304.0,0.004078592424808191
2002-01-31,10783.5,177.7,5.7,21.09,5.04,1.73,93.0,1698.0,414000.0,88.4634,40.2,163324.0,-0.0008086897999924122
2002-02-28,10783.5,178.0,5.7,21.59,4.91,1.74,90.7,1829.0,398000.0,88.4578,40.2,172406.0,0.016656856550812216
2002-03-31,10783.5,178.5,5.7,16.112097442070855,5.28,1.73,95.7,1642.0,479000.0,89.1265,40.5,167853.0,-0.0026599573848186675
2002-04-30,10887.46,179.3,5.9,21.91,5.21,1.75,93.0,1592.0,414000.0,89.5507,40.6,171852.0,0.009791876954536493
2002-05-31,10887.46,179.5,5.8,19.98,5.16,1.75,96.9,1764.0,403000.0,89.9348,40.6,171854.0,0.001719167524002274
