date,linchpin__mortgage_rate,linchpin__core_cpi,linchpin__import_prices,linchpin__retail_sales,linchpin__industrial_production,linchpin__nonfarm_payrolls,linchpin__real_gdp_growth,linchpin__10y_treasury_yield,linchpin__s&p500_returns,linchpin__ism_nonmanufacturing_index,linchpin__export_prices
2000-01-31,8.25,179.3,101.1,268044.0,91.4092,131011.0,13878.147,6.66,-0.020108083256356934,0.0063525588167662635,-0.0030477671754910677
2000-02-29,8.31,179.4,101.3,272020.0,91.7245,131121.0,13878.147,6.52,-0.020108083256356934,0.0063525588167662635,-0.0030477671754910677
2000-03-31,8.23,180.0,106.3,275192.0,92.083,131604.0,13878.147,6.26,0.09671982835364812,0.006772793537904897,0.017707055138767778
2000-04-30,8.13,180.3,102.0,271046.0,92.6659,131883.0,14130.908,5.99,-0.030795755780191336,-0.004890339069132765,-0.028351974188429264
2000-05-31,8.62,180.7,99.9,271394.0,92.9347,132105.0,14130.908,6.44,-0.021915050603417807,0.0016841164293313505,0.005396481493494299
2000-06-30,8.22,181.1,98.3,273422.0,93.0018,132062.0,14130.908,6.1,0.023933549615877237,0.003555446805132534,-0.01790293010186668
2000-07-31,8.13,181.5,102.0,272630.0,92.8373,132228.0,14145.312,6.05,-0.016341275904170893,-0.00011893559086666454,0.017843212038552037
2000-08-31,7.99,181.9,100.6,272918.0,92.591,132234.0,14145.312,5.83,0.06069910494167097,0.0010973205850774326,-0.013474315345973154
2000-09-30,7.88,182.3,98.4,277548.0,92.9827,132338.0,14145.312,5.8,-0.053482974719764265,0.0076815695490438434,-0.011303850024306594
2000-10-31,7.68,182.6,98.1,276927.0,92.64,132352.0,14229.765,5.74,-0.00494948542177065,-0.0003695516946985001,-0.003099664044193773
2000-11-30,7.73,183.1,96.8,276029.0,92.6604,132556.0,14229.765,5.72,-0.08006861010730892,-1.3221758492010303e-05,-0.006501288369553581
2000-12-31,7.13,183.3,95.2,275791.0,92.3457,132716.0,14229.765,5.24,0.004053445623728669,0.000344909597106402,-0.024719989806132436
2001-01-31,7.15,183.9,97.0,278834.0,91.8908,132703.0,14183.12,5.16,0.03463657667616449,0.005366097693826288,0.007382343124778746
2001-02-28,7.12,184.4,95.4,278773.0,91.2851,132788.0,14183.12,5.1,-0.09229073539585964,0.0009203118517424834,-0.00975734339060621
2001-03-31,6.91,184.7,94.1,276450.0,91.0585,132751.0,14183.12,4.89,-0.06420471080339152,-0.0029287003667716085,-0.014560641894106075
2001-04-30,7.12,185.1,94.5,280808.0,90.7384,132457.0,14271.694,5.14,0.07681436165439459,0.006290961504930914,0.013000049607292619
2001-05-31,7.2,185.3,93.7,281496.0,90.2607,132409.0,14271.694,5.39,0.005090187401275648,0.001195463641367589,0.005818971334929779
2001-06-30,7.11,186.0,97.2,280401.0,89.7811,132299.0,14271.694,5.28,-0.02503538942756467,-0.0006719027920482846,0.015728292237263398
2001-07-31,7.03,186.4,96.8,279504.0,89.2352,132171.0,14214.516,5.24,-0.010740149595403703,-0.0009246863438207576,-0.0029276033935532464
2001-08-31,6.92,186.7,95.9,281413.0,89.157,132021.0,14214.516,4.97,-0.06410840688075747,0.002874346956741347,-0.014471271224003135
2001-09-30,6.72,187.1,97.9,276084.0,88.6749,131763.0,14214.516,4.73,-0.08172340570563885,-0.007518160300634025,0.0014123233570215703
2001-10-31,6.64,187.4,101.4,294540.0,88.4051,131452.0,14253.574,4.57,0.018099111333141016,0.026512624585897773,0.011591081537565696
2001-11-30,7.02,188.1,100.9,287111.0,87.886,131144.0,14253.574,4.65,0.0751759041240454,-0.00967127278792268,0.0021562085092707963
2001-12-31,7.16,188.4,99.0,283705.0,87.8518,130983.0,14253.574,5.09,0.0075738340889277556,-0.00463503161927844,0.00998793744604365
2002-01-31,6.96,188.7,98.9,283508.0,88.4634,130859.0,14372.785,5.04,-0.015573832456979853,-8.40526151445032e-05,-0.00199198004092076
2002-02-28,6.81,189.1,100.9,285054.0,88.4578,130736.0,14372.785,4.91,-0.020766211039727644,0.002535190712863955,0.005588423347002979
2002-03-31,7.18,189.2,105.6,284262.0,89.1265,130722.0,14372.785,5.28,0.03673889286207466,-0.000984847964170843,0.03852031583596303
2002-04-30,6.88,189.7,105.1,288833.0,89.5507,130615.0,14460.848,5.21,-0.061417625919219065,0.0069793468963620375,-0.004226127554615922
2002-05-31,6.76,190.0,108.1,284951.0,89.9348,130632.0,14460.848,5.16,-0.009081481352177012,-0.004862637627807543,0.01282716930798926
2002-06-30,6.55,190.2,112.2,287372.0,90.6736,130673.0,14460.848,4.93,-0.0724553538081798,0.0038084261440887836,0.010364983085685764
2002-07-31,6.34,190.5,114.5,290385.0,90.6436,130583.0,14519.633,4.65,-0.07900427514940767,0.004460430664291859,-0.0006362858820930795
2002-08-31,6.22,191.1,111.8,292650.0,90.5505,130582.0,14519.633,4.26,0.004881433306494376,0.004062580367919022,-0.027619704671723852
2002-09-30,5.99,191.3,111.0,288410.0,90.6373,130503.0,14519.633,3.87,-0.11002431825242787,-0.005662842049941686,-0.021573704943692207
2002-10-31,6.31,191.5,114.0,289576.0,90.3988,130617.0,14537.58,3.94,0.08644880033371405,0.0021928486957303317,0.01744472806484254
2002-11-30,6.13,191.9,113.2,291484.0,90.8947,130616.0,14537.58,4.05,0.05706962070498589,0.003259912596453296,0.002701616269139029
2002-12-31,5.93,192.1,114.0,293947.0,90.3906,130465.0,14537.58,4.03,-0.06033257188502883,0.0033457900741907915,0.0028585774288379055
2003-01-31,5.9,192.4,118.5,295248.0,91.1369,130573.0,14614.141,4.05,-0.02741469268304464,0.0024872356324348033,0.021197903922994032
2003-02-28,5.79,192.5,127.4,291167.0,91.2505,130441.0,14614.141,3.9,-0.01700360825687175,-0.0056762647579618585,0.03030126036455156
2003-03-31,5.91,192.5,128.2,296325.0,91.0006,130235.0,14614.141,3.81,0.008357567684332823,0.006612190430021115,-0.0014756671899529786
2003-04-30,5.79,192.5,121.7,295600.0,90.4311,130172.0,14743.567,3.96,0.0810441071800323,-0.0011237774717354988,-0.017476998292530077
2003-05-31,5.31,192.9,117.3,296410.0,90.4,130196.0,14743.567,3.57,0.050898709609522585,0.0017747638355577022,-0.03715083218616498
2003-06-30,5.24,193.0,127.0,299626.0,90.5196,130185.0,14743.567,3.33,0.011322214676852127,0.004470109144639623,0.028057116416111392
2003-07-31,5.94,193.4,127.3,302747.0,90.9869,130184.0,14988.782,3.98,0.016223701958536507,0.004785984849493841,0.04084190305927484
2003-08-31,6.32,193.6,125.4,307809.0,90.7933,130153.0,14988.782,4.45,0.017873203593487874,0.00692689319666876,0.01646564173411477
2003-09-30,5.98,193.7,128.5,305933.0,91.3819,130253.0,14988.782,4.27,-0.011944364585525724,-0.0020524188056451954,0.004425517608209351
2003-10-31,5.94,194.0,135.4,304809.0,91.5049,130440.0,15162.76,4.29,0.05496148663571665,-0.0005742665338416498,0.0282496532122261
2003-11-30,5.89,194.0,135.4,308527.0,92.1265,130481.0,15162.76,4.3,0.0071285040713728876,0.004973417251480239,0.00046620046620047265
2003-12-31,5.85,194.2,139.3,307407.0,92.1732,130589.0,15162.76,4.27,0.05076554077889206,-0.0008944705564429833,0.013315702039155553
