date,linchpin__mortgage_rate,linchpin__core_cpi,linchpin__import_prices,linchpin__retail_sales,linchpin__industrial_production,linchpin__nonfarm_payrolls,linchpin__real_gdp_growth,linchpin__10y_treasury_yield,linchpin__s&p500_returns,linchpin__ism_nonmanufacturing_index,linchpin__export_prices
2000-01-31,8.25,179.3,101.1,268044.0,91.4092,131011.0,13878.147,6.66,-0.0201080832563569,0.0063525588167662,-0.003047767175491
2000-02-29,8.31,179.4,101.3,272020.0,91.7245,131121.0,13878.147,6.52,-0.0201080832563569,0.0063525588167662,-0.003047767175491
2000-03-31,8.23,180.0,106.3,275192.0,92.083,131604.0,13878.147,6.26,0.0967198283536481,0.0067727935379048,0.0177070551387677
2000-04-30,8.13,180.3,102.0,271046.0,92.6659,131883.0,14130.908,5.99,-0.0307957557801913,-0.0048903390691327,-0.0283519741884292
2000-05-31,8.62,180.7,99.9,271394.0,92.9347,132105.0,14130.908,6.44,-0.0219150506034178,0.0016841164293313,0.0053964814934942
2000-06-30,8.22,181.1,98.3,273422.0,93.0018,132062.0,14130.908,6.1,0.0239335496158772,0.0035554468051325,-0.0179029301018666
2000-07-31,8.13,181.5,102.0,272630.0,92.8373,132228.0,14145.312,6.05,-0.0163412759041708,-0.0001189355908666,0.017843212038552
2000-08-31,7.99,181.9,100.6,272918.0,92.591,132234.0,14145.312,5.83,0.0606991049416709,0.0010973205850774,-0.0134743153459731
2000-09-30,7.88,182.3,98.4,277548.0,92.9827,132338.0,14145.312,5.8,-0.0534829747197642,0.0076815695490438,-0.0113038500243065
2000-10-31,7.68,182.6,98.1,276927.0,92.64,132352.0,14229.765,5.74,-0.0049494854217706,-0.0003695516946985,-0.0030996640441937
2000-11-30,7.73,183.1,96.8,276029.0,92.6604,132556.0,14229.765,5.72,-0.0800686101073089,-1.3221758492010303e-05,-0.0065012883695535
2000-12-31,7.13,183.3,95.2,275791.0,92.3457,132716.0,14229.765,5.24,0.0040534456237286,0.0003449095971064,-0.0247199898061324
2001-01-31,7.15,183.9,97.0,278834.0,91.8908,132703.0,14183.12,5.16,0.0346365766761644,0.0053660976938262,0.0073823431247787
2001-02-28,7.12,184.4,95.4,278773.0,91.2851,132788.0,14183.12,5.1,-0.0922907353958596,0.0009203118517424,-0.0097573433906062
2001-03-31,6.91,184.7,94.1,276450.0,91.0585,132751.0,14183.12,4.89,-0.0642047108033915,-0.0029287003667716,-0.014560641894106
2001-04-30,7.12,185.1,94.5,280808.0,90.7384,132457.0,14271.694,5.14,0.0768143616543945,0.0062909615049309,0.0130000496072926
2001-05-31,7.2,185.3,93.7,281496.0,90.2607,132409.0,14271.694,5.39,0.0050901874012756,0.0011954636413675,0.0058189713349297
2001-06-30,7.11,186.0,97.2,280401.0,89.7811,132299.0,14271.694,5.28,-0.0250353894275646,-0.0006719027920482,0.0157282922372633
