Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,$9.95,0.07,0.709%,0.0,United States,2025.0,144,,
AACBU,Artius II Acquisition Inc. Units,$10.081,-0.019,-0.188%,0.0,United States,2025.0,828,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,$0.93,0.0115,1.252%,29760121.0,China,2008.0,6493,Real Estate,Other Consumer Services
AAL,American Airlines Group Inc. Common Stock,$9.07,-0.64,-6.591%,5964210529.0,United States,,81034660,Consumer Discretionary,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,$1.31,-0.27,-17.089%,26723683.0,United States,,11521,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,$10.70,-0.53,-4.72%,531270857.0,United States,2013.0,6351976,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$73.00,-1.53,-2.053%,5956602097.0,United States,,962923,Industrials,Industrial Machinery/Components
AAPG,Ascentage Pharma Group International American Depository Shares,$19.46,-0.94,-4.608%,1673338175.0,China,2025.0,189532,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,$172.42,-9.04,-4.982%,2590105826660.0,United States,1980.0,120859491,Technology,Computer Manufacturing
AARD,Aardvark Therapeutics Inc. Common Stock,$7.29,-0.65,-8.186%,158163257.0,United States,2025.0,145490,Health Care,Biotechnology: Pharmaceutical Preparations
ABAT,American Battery Technology Company Common Stock,$0.9238,-0.0612,-6.213%,78207070.0,United States,,629832,Basic Materials,Metal Mining
ABCL,AbCellera Biologics Inc. Common Shares,$1.93,-0.12,-5.854%,568704477.0,Canada,2020.0,4052612,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,$4.32,-0.185,-4.107%,209666007.0,United States,,984522,Health Care,Biotechnology: Pharmaceutical Preparations
ABL,Abacus Global Management Inc. Class A Common Stock,$6.64,-0.4,-5.682%,643104179.0,United States,2020.0,494700,Finance,Investment Managers
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,$25.10,0.0999,0.40%,1873748810.0,United States,,11290,Finance,Investment Managers
ABLLW,Abacus Global Management Inc. Warrant,$1.37,-0.08,-5.517%,132688663.0,United States,2020.0,14168,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,$0.91,0.04,4.598%,38546902.0,China,,2679,Consumer Discretionary,Other Consumer Services
ABNB,Airbnb Inc. Class A Common Stock,$105.69,-0.61,-0.574%,66641730218.0,United States,2020.0,7661500,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,$0.9742,-0.0758,-7.219%,59010631.0,United States,2021.0,195044,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Holdings Inc Common Stock,$0.2744,-0.0308,-10.092%,14136705.0,United States,2022.0,972948,Health Care,Biotechnology: Pharmaceutical Preparations
ABPWW,Abpro Holdings Inc. Warrant,$0.047,0.0022,4.911%,2421374.0,United States,2022.0,7074,Health Care,Biotechnology: Pharmaceutical Preparations
ABSI,Absci Corporation Common Stock,$2.27,-0.05,-2.155%,289047923.0,United States,2021.0,2810699,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABTS,Abits Group Inc Ordinary Shares,$1.61,0.1099,7.326%,3816202.0,China,,36200,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,$2.88,-0.125,-4.16%,551462941.0,Canada,,1215739,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,$0.8948,0.0648,7.807%,11610470.0,United States,,574298,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,$0.4789,0.0138,2.967%,13315626.0,Canada,,145358,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,$0.0232,0.0011,4.977%,645067.0,Canada,,7523,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,$5.17,-0.06,-1.147%,327691625.0,France,2023.0,407844,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$14.10,-0.51,-3.491%,2351718090.0,United States,1985.0,2162786,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,$3.88,-0.17,-4.198%,212083815.0,Canada,,1202397,Health Care, Medicinal Chemicals and Botanical Products 
ACDC,ProFrac Holding Corp. Class A Common Stock,$4.31,-0.22,-4.857%,690369042.0,United States,2022.0,1890001,Energy,Oilfield Services/Equipment
ACET,Adicet Bio Inc. Common Stock ,$0.60,-0.0201,-3.241%,49611450.0,United States,2018.0,158874,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,$86.42,1.43,1.683%,32438372335.0,Bermuda,,2751881,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$16.94,-0.06,-0.353%,6358551578.0,Bermuda,,56254,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$20.57,0.075,0.366%,7721098345.0,Bermuda,,48112,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,$27.12,0.7,2.65%,2519801699.0,United States,,2800177,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,$1.975,-0.25,-11.236%,68503017.0,United States,,242417,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIC,American Coastal Insurance Corporation Common Stock,$10.54,0.01,0.095%,508540560.0,United States,,193341,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,$1.51,-0.08,-5.031%,151619669.0,Switzerland,2016.0,198006,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,$48.00,-1.7,-3.421%,5056129344.0,United States,,1714595,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,$42.68,-2.17,-4.838%,1372338653.0,United States,2000.0,1370958,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,$53.60,-3.05,-5.384%,2944999043.0,United States,2022.0,893556,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACMR,ACM Research Inc. Class A Common Stock,$18.33,-0.82,-4.282%,1157167474.0,United States,2017.0,2395015,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation Common Stock,$38.55,-0.06,-0.155%,406422319.0,United States,,35544,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,$12.61,-0.18,-1.407%,127090301.0,United States,,44561,Industrials,Steel/Iron Ore
ACOG,Alpha Cognition Inc. Common Stock,$3.75,-0.68,-15.35%,58242308.0,Canada,,273087,,
ACON,Aclarion Inc. Common Stock,$8.02,-0.95,-10.591%,4069404.0,United States,2022.0,58423,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,$0.0386,-0.0081,-17.345%,19586.0,United States,2022.0,4384,Health Care,Medical Specialities
ACRS,Aclaris Therapeutics Inc. Common Stock,$1.23,-0.1,-7.519%,132740150.0,United States,2015.0,947781,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,$1.36,-0.03,-2.158%,42638013.0,United States,2022.0,296851,Health Care,Biotechnology: Pharmaceutical Preparations
